coating_thickness_um,coating_uniformity_cv,coating_areal_mass,coating_defect_density,calendering_density,calendering_porosity,calendering_force,slitting_edge_burr,slitting_width_accuracy,assembly_winding_tension,assembly_weld_strength,assembly_initial_resistance,fill_electrolyte_volume,fill_seal_pressure,failed_qc
74.85,1.041,22.19,0.59,3.343,30.27,6042.7,1.42,0.0203,14.19,176.8,12.01,15.479,122.4,1
77.95,0.985,22.02,0.06,3.448,28.19,6066.4,2.92,0.0154,14.65,185.9,12.05,14.911,123.2,0
77.57,0.668,22.69,0.21,3.458,29.66,5958.2,2.69,0.02,14.92,167.2,11.66,14.918,117.4,0
74.89,1.285,21.52,0.04,3.515,31.21,6115.8,1.92,0.0033,14.81,188.8,14.71,15.005,121.5,0
80.38,0.661,21.98,0.83,3.403,30.05,6151.8,1.19,0.0302,14.18,181.5,12.06,14.927,120.6,0
76.5,1.005,21.71,0.28,3.551,31.16,5999.0,2.64,0.02,14.71,187.2,11.27,14.964,119.3,0
78.87,0.953,22.69,0.88,3.518,29.49,5789.4,1.53,0.0194,15.48,169.3,11.66,15.001,116.7,0
77.97,0.559,22.18,0.06,3.517,28.77,6093.8,2.58,0.0186,15.36,181.1,11.54,14.837,122.9,0
75.65,0.706,22.58,0.44,3.419,30.37,6010.1,1.28,0.0331,15.66,181.9,11.59,15.022,116.6,0
75.73,0.976,21.93,0.47,3.468,29.6,6047.6,1.44,0.005,15.06,179.1,12.69,15.116,118.6,0
77.24,0.677,22.07,0.4,3.681,30.72,5756.9,2.05,0.0105,14.66,183.6,13.51,15.32,118.3,0
77.85,0.923,22.46,0.01,3.587,29.64,5993.1,1.07,0.0283,14.6,183.1,12.69,15.015,121.6,0
78.25,0.449,22.12,0.5,3.492,29.8,6007.5,2.05,0.007,15.16,185.7,11.56,14.931,120.8,0
76.82,1.164,21.97,0.58,3.582,28.76,6098.3,2.1,0.0248,14.47,180.1,11.84,15.002,118.2,0
75.68,1.249,21.84,0.35,3.475,30.48,6082.1,2.6,0.0001,14.69,176.8,12.28,14.876,122.7,0
79.25,0.807,21.56,0.12,3.471,29.16,5947.4,1.37,0.0045,15.08,198.1,12.18,15.065,121.2,0
75.47,1.431,21.84,0.05,3.445,29.16,6131.6,1.62,0.0139,14.52,185.8,11.65,14.969,118.4,0
75.25,1.541,21.42,0.88,3.491,29.72,5949.0,3.75,0.0354,14.77,184.9,11.99,14.796,114.9,0
80.63,0.863,22.21,0.94,3.45,29.56,6033.7,1.8,0.0054,14.3,178.7,11.57,15.354,119.3,0
80.32,1.284,22.25,0.61,3.513,28.71,6093.8,2.25,0.0146,15.3,183.4,11.92,14.892,120.8,0
78.37,1.308,21.88,0.25,3.482,29.29,5981.2,2.08,0.0388,14.99,179.9,11.91,14.97,117.4,0
78.46,1.025,21.62,0.12,3.491,29.05,5917.9,1.91,0.0212,14.99,182.7,11.56,14.861,115.8,0
75.16,1.167,21.36,0.69,3.448,30.96,5960.2,2.68,0.0015,15.99,179.8,11.28,15.043,120.6,0
77.45,1.014,22.93,0.68,3.445,29.44,5793.3,2.85,0.0196,14.85,183.4,11.72,14.976,122.1,0
78.97,1.184,22.21,0.17,3.481,29.83,5984.7,2.62,0.0232,15.22,182.8,11.11,14.93,117.2,0
77.87,0.832,21.9,0.9,3.533,29.56,6027.9,2.5,0.0042,14.87,181.2,10.47,15.124,121.7,0
78.71,1.117,21.57,1.04,3.432,28.82,6112.4,3.03,0.0079,15.05,177.1,11.98,14.903,118.4,0
77.59,1.02,21.77,0.04,3.466,29.86,6063.8,3.9,0.0127,15.09,190.0,11.51,15.009,117.9,0
77.28,0.967,21.72,0.36,3.445,29.46,5926.5,2.68,0.0011,14.57,180.1,11.85,14.951,122.4,0
77.62,1.196,22.24,0.36,3.542,29.64,5957.9,1.67,0.0087,15.07,177.3,12.0,15.214,122.4,0
78.11,0.782,21.67,0.13,3.524,31.62,5820.6,3.42,0.0069,14.82,185.1,12.03,15.032,121.3,0
73.07,0.773,21.5,0.49,3.447,29.28,6127.1,5.72,0.0176,14.97,186.3,11.72,15.573,121.0,1
77.48,0.529,22.12,0.57,3.418,28.27,6067.9,1.89,0.0144,14.77,182.4,12.02,15.021,121.8,0
77.19,1.006,22.27,0.1,3.516,29.42,5989.9,1.86,0.0117,14.69,184.5,11.08,14.878,119.4,0
77.56,0.798,22.63,0.04,3.428,30.63,5922.8,1.91,0.0055,14.38,192.6,11.64,14.887,115.1,0
76.01,1.042,21.29,0.13,3.434,29.89,5818.0,1.35,0.0048,14.66,184.2,11.6,15.058,121.4,0
81.55,0.978,22.12,0.48,3.485,30.25,5774.1,2.32,0.0037,14.65,189.3,12.13,15.086,122.5,0
80.41,1.063,22.37,0.02,3.532,30.08,6129.7,1.98,0.0324,14.53,183.9,11.47,15.203,115.3,0
78.55,1.232,21.96,0.34,3.538,27.44,5946.4,2.64,0.0328,15.2,184.9,11.16,14.811,118.9,0
77.77,0.789,22.66,0.31,3.586,30.64,6102.9,2.6,0.0047,14.65,183.4,11.96,15.007,118.2,0
77.99,1.583,22.16,0.63,3.451,30.14,5936.9,1.94,0.0366,14.93,179.4,11.65,14.874,121.0,0
78.02,0.439,21.81,0.26,3.497,29.8,6098.7,2.8,0.0062,15.12,176.7,12.63,15.167,119.6,0
77.84,1.097,22.33,0.23,3.48,28.72,6088.8,3.6,0.0278,15.45,184.5,10.31,14.984,117.7,0
77.5,1.128,21.96,0.93,3.507,29.09,6161.4,1.49,0.0248,14.97,177.5,12.4,15.041,120.6,0
77.14,0.757,21.47,0.44,3.487,30.18,5869.0,2.15,0.0058,15.04,183.4,12.35,14.941,123.1,0
77.87,1.002,22.35,0.52,3.421,29.75,6053.9,1.35,0.031,14.96,171.4,10.78,15.212,117.1,0
78.04,1.053,21.39,0.76,3.526,30.55,5864.6,2.09,0.0074,14.82,178.4,11.38,14.924,119.1,0
76.7,0.261,23.13,0.27,3.611,30.37,5984.8,1.83,0.0145,15.19,174.8,12.07,14.981,116.6,1
72.39,0.951,21.62,0.11,3.535,28.81,5889.0,2.75,0.0061,15.04,158.9,11.3,14.978,118.9,1
73.26,1.233,21.8,1.05,3.48,30.03,6079.2,1.67,0.0175,14.74,188.4,12.2,15.059,118.2,0
74.95,0.734,22.38,0.02,3.551,29.37,6038.8,10.42,0.0097,15.19,187.7,13.49,14.542,120.5,1
78.34,0.345,22.96,0.76,3.473,29.15,5953.1,1.7,0.0251,14.52,180.0,11.56,15.125,119.4,0
78.61,1.022,22.18,3.93,3.491,29.11,6237.4,5.75,0.0086,14.75,177.8,11.33,15.072,121.5,1
75.72,0.546,21.31,0.18,3.512,30.05,5900.8,1.59,0.0199,14.44,175.8,12.16,14.831,120.0,0
75.3,0.958,21.87,0.17,3.513,30.16,5871.7,2.46,0.0078,15.52,179.0,12.54,14.976,115.1,0
76.68,2.096,21.81,0.71,3.651,30.75,6081.5,2.48,0.0206,15.37,182.1,15.1,15.057,121.9,1
76.93,0.959,21.89,0.35,3.489,31.32,6098.8,1.45,0.0006,15.05,184.1,11.97,14.99,122.4,0
79.83,2.466,21.79,2.56,3.467,30.72,5786.7,6.63,0.0196,14.62,183.6,11.96,14.753,125.3,1
78.23,0.505,22.15,0.13,3.497,29.55,5953.4,3.18,0.0019,14.89,186.3,12.09,14.87,119.5,0
76.78,0.514,21.01,0.06,3.464,29.76,5819.0,2.87,0.0038,15.68,180.2,11.91,14.845,119.4,0
76.05,0.48,21.48,0.67,3.548,32.39,6057.5,2.29,0.0025,14.91,184.6,11.61,14.885,120.9,0
74.67,1.051,22.08,0.47,3.534,29.36,5875.2,2.06,0.0114,15.31,179.6,11.28,15.164,119.3,0
75.88,0.98,22.28,0.2,3.49,30.83,5982.9,2.1,0.0132,14.9,177.8,11.12,15.227,120.6,0
76.85,0.289,22.77,0.71,3.41,30.28,5906.4,1.98,0.0308,14.75,186.4,11.78,15.137,120.9,0
79.78,1.17,22.42,0.21,3.485,29.41,5870.7,2.07,0.005,14.46,186.1,12.49,15.122,123.2,0
78.06,1.465,21.67,0.2,3.504,30.86,5976.3,1.4,0.0347,15.44,185.5,11.02,14.958,125.1,0
76.71,1.203,22.8,0.7,3.499,27.65,6008.2,3.53,0.0108,15.04,181.5,11.58,14.976,122.0,0
77.87,0.192,22.04,0.6,3.464,30.17,6054.9,2.55,0.0189,14.99,185.2,11.73,14.788,116.2,0
76.96,1.348,21.55,0.27,3.498,29.69,5933.0,2.54,0.0137,15.0,185.9,11.88,15.2,122.0,0
77.64,1.955,21.49,4.56,3.683,29.64,6114.7,0.93,0.0007,14.9,177.9,12.62,15.18,119.0,1
78.96,0.792,21.76,0.41,3.567,30.29,5964.5,1.32,0.0102,15.45,185.0,12.38,15.057,116.7,0
77.93,0.752,21.97,0.51,3.551,31.01,6077.6,2.44,0.0205,14.56,181.5,12.32,15.047,121.4,0
75.75,0.89,21.47,0.66,3.51,32.95,6150.0,2.41,0.003,15.09,181.5,11.08,15.111,120.7,0
73.87,1.194,21.98,0.85,3.436,28.92,6128.1,1.81,0.0212,14.79,178.2,12.07,15.134,116.0,0
77.56,2.775,22.05,0.23,3.699,28.18,5955.5,2.21,0.0184,14.85,193.6,11.76,14.942,121.0,1
80.35,1.048,21.76,0.53,3.516,31.95,6133.2,2.45,0.009,15.71,181.5,11.36,14.854,117.8,0
79.37,1.245,22.06,0.65,3.59,30.91,6192.3,1.29,0.0148,14.7,168.6,11.84,15.167,118.7,0
77.26,0.986,21.52,0.75,3.423,30.32,5941.0,3.09,0.0152,14.17,169.9,11.3,14.94,119.5,0
75.95,0.36,22.1,0.29,3.496,29.36,5979.2,3.09,0.0325,14.51,185.2,12.58,14.975,116.8,0
76.13,1.553,22.94,0.47,3.519,29.88,6137.0,2.2,0.0013,15.54,185.1,12.87,14.804,118.6,0
77.26,1.081,21.53,0.37,3.592,31.64,5774.6,2.42,0.0165,14.8,176.5,12.13,15.012,121.4,0
76.63,0.751,22.21,0.62,3.445,31.3,5825.0,2.2,0.0061,14.72,187.7,10.63,14.912,117.7,0
79.16,1.319,21.11,0.45,3.445,29.63,6029.4,2.26,0.0275,14.21,177.8,11.06,14.803,122.5,0
79.78,0.92,21.61,0.7,3.472,28.8,5862.0,2.27,0.0253,15.02,188.1,11.85,14.949,126.8,1
76.75,0.417,22.16,0.32,3.519,30.32,6052.4,2.89,0.0063,14.71,178.1,12.09,14.871,121.8,0
76.83,0.367,21.55,0.09,3.501,29.56,5889.5,2.72,0.0026,15.02,184.8,12.32,14.808,121.8,0
79.52,1.107,22.27,0.45,3.557,28.46,5963.4,2.23,0.0407,15.41,187.2,11.42,15.27,121.2,0
75.86,0.639,21.91,0.11,3.521,30.28,6013.6,3.34,0.0327,15.55,177.9,12.53,15.229,125.8,0
78.49,0.884,21.29,0.62,3.463,31.44,6115.8,2.03,0.0007,14.9,179.7,13.35,14.888,120.1,0
77.06,0.501,22.48,0.61,3.519,28.49,6060.4,2.37,0.0068,14.45,181.7,11.36,15.01,120.2,0
77.9,1.059,22.17,0.7,3.461,29.65,6110.6,2.29,0.0225,15.3,179.8,12.24,14.969,122.4,0
81.43,0.435,21.78,0.32,3.484,30.37,5955.8,2.86,0.0197,15.17,176.9,12.07,15.081,120.9,0
77.18,0.79,22.27,0.56,3.534,29.72,5842.2,1.46,0.0087,15.32,186.0,10.89,15.064,119.8,0
78.4,1.148,23.03,0.23,3.484,31.49,5843.1,2.24,0.0009,15.39,184.0,11.34,15.117,122.1,0
77.21,0.555,22.43,0.3,3.489,28.96,5952.7,3.09,0.015,14.35,177.1,12.12,14.94,118.6,0
78.14,0.786,22.46,0.38,3.461,30.69,6161.5,1.76,0.0341,14.81,175.3,12.62,14.833,119.2,0
77.23,0.665,21.93,0.33,3.56,29.85,5838.0,2.79,0.0207,14.91,185.9,11.83,14.855,119.8,0
76.59,1.0,22.07,0.0,3.463,30.0,6055.7,2.24,0.0441,15.51,190.9,12.59,15.065,121.7,0
76.3,0.937,21.43,0.58,3.486,30.77,6021.9,1.92,0.0169,14.53,180.7,11.53,15.089,119.8,0
74.48,2.723,22.05,0.7,3.523,31.31,5973.4,2.26,0.01,14.83,177.8,14.18,14.977,118.4,1
77.77,1.496,21.44,0.33,3.455,29.21,5905.2,1.91,0.0157,14.54,185.1,11.08,14.951,123.3,0
78.95,1.918,22.25,2.03,3.458,29.93,6076.5,6.91,0.0112,15.52,179.5,15.64,15.153,120.0,1
73.07,1.157,21.77,0.15,3.437,30.08,5931.9,4.05,0.0327,14.72,182.2,14.19,15.565,122.0,1
79.21,1.942,21.55,4.06,3.465,30.29,6052.5,4.0,0.0346,14.97,145.8,12.71,14.905,118.8,1
79.24,1.845,21.11,0.07,3.677,29.81,6025.8,1.9,0.0,14.59,150.7,11.95,14.896,116.8,1
75.97,1.026,22.13,0.31,3.468,29.92,6106.1,1.98,0.0169,14.89,190.6,11.81,14.979,116.0,0
77.66,0.984,21.73,0.35,3.475,30.3,5973.8,3.32,0.0138,15.45,176.7,11.57,14.899,123.1,0
71.76,0.575,22.56,3.86,3.499,30.01,6077.9,5.11,0.004,14.8,180.3,11.56,15.088,119.2,1
78.86,2.216,22.47,4.0,3.457,29.87,6110.0,2.23,0.0288,15.55,180.0,11.27,15.007,121.1,1
79.51,0.595,21.93,0.3,3.449,29.47,6057.4,2.68,0.0076,15.65,188.1,11.47,14.921,120.6,0
79.74,1.239,21.75,0.66,3.646,29.27,5944.3,4.72,0.0257,14.62,179.4,13.53,15.229,120.8,1
77.16,1.046,21.9,0.31,3.505,29.9,5932.7,2.6,0.029,15.5,176.5,12.1,15.063,122.5,0
83.44,0.874,22.19,1.06,3.538,29.68,5956.9,5.19,0.0023,14.58,176.2,12.21,14.933,119.7,1
76.26,0.647,21.54,0.28,3.54,30.71,5974.4,2.25,0.0455,15.41,186.6,12.5,15.06,119.2,1
77.22,1.251,22.03,0.19,3.54,30.34,5916.5,7.09,0.024,15.46,161.1,12.59,15.174,118.7,1
77.67,1.459,22.27,0.49,3.52,30.31,5748.3,2.06,0.0088,15.0,181.6,11.85,14.985,122.3,0
84.44,0.978,21.97,0.56,3.294,29.6,5929.0,2.21,0.0445,14.68,190.5,11.57,15.544,119.6,1
78.91,0.358,22.79,0.92,3.499,29.86,5850.0,2.3,0.011,15.08,181.5,11.11,14.956,119.9,0
77.8,0.55,22.46,0.33,3.525,31.04,5986.7,3.76,0.013,15.2,185.2,12.15,15.024,121.5,0
76.72,0.895,21.47,0.03,3.498,28.95,6099.0,3.02,0.0112,15.23,185.0,12.48,14.779,116.3,0
79.76,0.974,22.95,0.74,3.552,30.37,6035.9,1.7,0.0054,15.27,185.2,11.87,14.869,115.2,0
78.67,0.743,22.59,0.23,3.483,30.35,5946.7,1.82,0.051,14.9,183.0,11.52,15.212,122.8,0
81.28,0.773,21.94,0.83,3.542,30.26,6029.6,2.28,0.0139,15.13,186.8,11.34,14.74,122.9,0
79.0,2.836,22.0,3.15,3.442,31.62,6127.1,2.31,0.0095,15.12,181.4,13.69,14.347,119.5,1
79.27,0.67,22.33,0.55,3.45,30.7,6026.5,1.77,0.025,14.98,186.9,11.86,14.969,117.2,0
76.79,0.794,21.99,0.47,3.492,29.86,6036.3,1.75,0.0081,14.58,177.9,12.32,15.008,121.5,0
75.4,0.788,21.94,0.11,3.55,29.58,6118.3,2.14,0.0567,14.51,183.7,12.13,14.919,123.7,0
77.6,0.633,21.8,0.33,3.572,29.39,6117.9,0.72,0.012,14.93,183.7,11.84,14.981,119.7,0
75.95,0.543,21.87,0.56,3.526,28.09,6063.2,2.32,0.0031,14.79,186.7,12.19,14.969,120.7,0
76.83,0.76,21.52,1.14,3.495,28.93,5911.1,1.67,0.0129,15.57,172.3,11.4,14.915,118.5,0
76.24,1.238,21.93,0.58,3.562,30.02,5790.0,1.68,0.0034,14.49,183.8,12.2,15.06,116.8,0
72.03,0.906,22.33,0.53,3.476,31.29,6216.9,5.93,0.0156,14.43,181.6,14.28,15.046,123.7,1
76.64,1.16,22.37,0.6,3.538,28.91,5972.5,1.87,0.0346,15.35,180.8,12.22,15.045,119.7,0
77.79,0.525,22.14,0.32,3.454,29.23,5970.1,2.22,0.0112,14.92,184.2,11.61,15.065,121.0,0
77.58,0.422,21.97,0.64,3.501,30.32,5793.3,1.7,0.0108,15.31,178.2,11.98,14.915,117.1,0
78.59,1.119,22.67,4.13,3.386,30.94,5823.9,2.26,0.0211,15.27,186.1,12.76,14.412,122.0,1
78.71,0.578,21.73,0.7,3.438,28.92,6072.7,2.66,0.0168,15.33,178.2,12.75,15.123,119.3,0
76.27,0.716,21.5,0.77,3.546,31.34,6306.2,3.27,0.0063,15.29,185.7,12.33,14.991,123.5,0
77.96,1.463,21.53,0.67,3.516,29.29,6064.1,2.09,0.0218,15.49,175.7,11.36,14.898,117.7,0
78.75,0.937,21.05,0.74,3.477,30.66,6058.4,1.66,0.0041,14.67,184.6,11.12,15.015,122.0,0
78.28,0.871,21.89,0.61,3.477,30.13,6198.0,3.32,0.0203,15.73,183.2,11.67,15.092,116.1,0
78.12,1.439,22.81,0.13,3.526,29.87,6123.7,1.96,0.0102,15.18,191.0,11.75,14.798,123.1,0
80.6,0.766,22.44,0.79,3.559,30.18,5980.0,2.6,0.0354,15.16,150.5,13.96,14.484,119.4,1
77.28,0.964,21.85,0.49,3.502,31.06,5834.1,2.29,0.0138,15.04,185.4,11.45,14.883,124.3,0
75.05,1.025,22.18,0.47,3.473,28.14,5819.2,1.98,0.0306,14.87,192.5,12.13,14.893,120.4,0
79.25,0.869,21.98,1.18,3.5,30.68,5869.6,1.79,0.0091,14.82,176.7,11.59,15.083,119.1,0
79.08,0.788,21.79,0.18,3.497,31.85,6082.7,2.42,0.0189,14.91,184.5,12.38,15.022,118.5,0
81.14,0.057,21.35,0.51,3.466,29.65,5822.1,1.76,0.0174,15.35,180.3,11.71,15.07,118.2,0
76.4,0.873,21.36,0.22,3.468,32.03,5915.8,1.96,0.0117,15.14,192.0,10.88,15.12,117.7,0
79.44,2.659,22.19,3.46,3.473,29.35,6013.7,2.86,0.0207,14.59,148.9,12.0,14.421,122.3,1
78.29,0.511,22.38,0.84,3.504,29.48,5883.7,2.46,0.0206,15.2,188.2,11.82,14.964,113.9,0
77.72,0.889,22.65,0.41,3.512,32.02,5978.8,2.46,0.0171,14.99,183.4,11.86,15.126,119.1,0
75.91,1.085,22.89,1.15,3.434,30.1,6133.3,3.32,0.0015,14.93,184.3,13.23,15.006,120.5,0
77.36,3.198,21.6,0.7,3.507,28.62,5968.7,2.1,0.0296,15.48,146.3,11.87,14.442,120.4,1
77.36,0.8,22.09,0.28,3.496,29.51,6042.9,2.39,0.0042,15.25,181.5,12.41,15.056,123.7,0
76.98,0.905,22.33,3.72,3.349,30.03,6190.0,1.57,0.0055,14.8,187.1,12.12,15.461,118.9,1
76.77,0.905,21.88,0.66,3.295,30.45,6099.1,1.43,0.0106,15.13,153.6,15.55,14.93,114.8,1
77.3,1.425,22.53,0.01,3.506,28.73,6062.5,2.35,0.027,15.54,174.2,11.65,14.75,117.1,0
78.18,1.303,22.23,1.0,3.506,28.37,5969.3,2.13,0.0141,15.78,179.2,11.04,14.978,118.0,0
76.92,0.678,21.51,0.73,3.56,31.07,5896.3,3.6,0.0034,14.55,181.8,11.5,15.002,120.0,0
76.68,0.521,21.98,0.0,3.551,30.95,6061.8,1.97,0.0038,14.65,182.0,12.62,14.976,122.5,1
78.17,1.144,21.37,0.82,3.487,30.99,5901.8,1.83,0.0182,14.6,189.9,12.19,14.789,117.9,0
80.23,0.685,22.33,0.76,3.534,30.94,6001.6,1.48,0.0267,14.63,180.6,12.64,15.158,115.4,0
78.13,0.895,22.26,0.83,3.554,30.4,6218.7,2.4,0.0169,15.01,180.5,11.3,14.867,123.8,0
80.21,0.127,21.97,0.89,3.502,28.99,5958.1,1.03,0.0232,15.17,171.2,11.69,14.931,120.5,0
77.36,0.63,22.74,0.04,3.527,29.73,5915.2,1.76,0.011,14.8,190.7,12.24,15.124,122.3,0
76.82,0.708,22.6,0.2,3.491,30.4,6183.9,1.68,0.0416,15.42,187.8,12.11,14.988,116.6,0
77.44,0.533,21.8,0.84,3.478,29.03,5774.1,1.0,0.0087,14.94,182.4,12.18,15.073,120.8,0
78.17,1.353,21.94,0.47,3.511,30.14,5920.8,1.65,0.0048,14.47,184.0,11.51,14.862,120.6,0
80.14,1.034,21.41,0.37,3.488,29.24,6084.4,2.42,0.0295,15.13,181.6,11.79,14.919,123.4,0
75.82,0.585,21.53,0.13,3.539,29.95,5920.8,2.14,0.013,13.91,186.5,12.94,15.139,119.9,0
77.25,0.884,22.24,0.42,3.496,27.7,6059.3,3.54,0.0114,14.43,177.1,11.12,14.836,118.6,0
75.36,0.804,21.53,2.45,3.487,30.13,5931.1,1.61,0.0054,14.52,146.9,11.57,15.746,118.3,1
79.81,0.889,21.91,0.11,3.493,28.81,5987.2,1.7,0.0014,14.8,178.4,12.0,15.027,124.2,0
77.54,1.003,22.55,0.5,3.559,30.35,5930.1,2.79,0.0361,14.98,176.7,11.88,14.958,119.8,0
73.06,1.068,22.11,0.4,3.515,30.96,5762.3,1.65,0.012,14.71,143.9,11.61,15.039,124.0,1
77.04,0.749,22.35,0.27,3.504,29.78,6046.9,2.55,0.0007,14.29,184.4,11.46,14.933,118.4,0
79.46,0.579,22.06,0.39,3.516,29.61,6151.1,2.4,0.0198,15.31,185.0,11.98,14.99,116.0,0
78.49,0.766,22.22,0.78,3.5,30.49,5926.0,1.52,0.0314,15.22,188.3,11.76,14.971,119.2,0
78.64,1.274,22.36,0.32,3.486,29.36,5990.0,2.42,0.008,15.43,178.5,12.45,14.976,118.7,0
78.88,0.853,21.73,0.89,3.487,28.61,5981.1,2.76,0.0077,14.68,176.6,11.87,15.021,117.1,0
79.06,1.02,22.39,0.16,3.521,31.54,5864.6,1.51,0.0303,14.51,175.8,11.13,14.819,118.0,0
77.79,1.534,21.44,3.8,3.524,30.8,6124.3,4.58,0.0067,14.83,179.8,14.82,14.989,120.3,1
77.22,2.403,21.06,0.89,3.517,30.09,6093.4,5.29,0.0296,14.3,145.7,10.95,15.173,120.5,1
76.68,0.776,21.62,0.68,3.513,29.76,5996.8,3.81,0.0035,15.4,183.9,11.38,15.066,115.0,1
76.99,0.98,21.68,0.38,3.514,30.47,5822.8,1.54,0.011,14.65,180.8,12.01,14.938,117.5,0
77.05,1.019,22.37,0.69,3.532,30.9,6052.3,1.99,0.0227,15.78,176.9,11.75,15.168,119.3,0
79.58,0.244,22.11,0.8,3.455,30.2,6023.6,2.81,0.0165,15.41,182.8,11.11,14.927,119.9,0
77.53,0.835,21.85,0.51,3.548,30.13,6153.5,1.71,0.0126,14.52,186.7,12.77,14.801,117.0,0
79.83,1.143,22.41,0.18,3.594,30.02,5944.7,1.63,0.0358,15.39,180.3,11.3,15.127,118.9,0
